Image_Name,Caption,Gender,Age,Height,Weight,BMI,BMI Classification with Gender
image_1.jpg,F/21/5’2 “[210lbs>113= 97lbs] (16 months ),F,21,5’2,113.0,20.66774133548267,Normal weight
image_2.jpg,F/25/5’7” [267lbs > 159lbs = 108lbs] (2018-2024),F,25,5’7”,159.0,31.052214437762206,Obese
image_3.jpg,M/31/5'10 [278lbs > 198lbs = 80 pounds lost] 7 months.,M,31,5'10,198.0,28.409727186801312,Overweight
image_4.jpg,F/28/5’4”[208lbs>153lbs=55lbs] (8 months),F,28,5’4”,153.0,29.880432760865517,Overweight
image_5.jpg,F/38/5’5” [303 > 138 = 165] (3 years) I’ve been having some body issues lately…,F,38,5’5”,138.0,26.9509785686238,Overweight
image_6.jpg,"F/32/5'8[438>307=131] 2 years. Calorie counting, exercise, no surgery. First year dropped 90 lbs second year dropped 40 and started recomping",F,32,5'8,307.0,46.678673201637075,Obese
image_7.jpg,F/28/5’4”[208lbs>153lbs =55lbs](8 months),F,28,5’4”,153.0,29.880432760865517,Overweight
image_8.jpg,"F/20/5'0"" [136lbs > 125lbs = 11 pounds lost] Slow cutting after the Bulk! Girls power",F,20,"5'0""",125.0,24.412118268680977,Normal weight
image_9.jpg,F/32/179 cm [102 kg > 72 = 30 kg] (1 year),F,32,179,72.0,,Obese
image_10.jpg,"F/33/5’4”[205>155=50] 6 months. 1200 calories a day, no alcohol, no exercise.",F,33,5’4”,155.0,30.271026653164412,Obese
image_11.jpg,"F/22/5’6 [250lbs > 140lbs = 110lbs lost] been maintaining for about a year now, took me about a year to lose the weight but here we are! i’m still so proud of myself 🥺😭",F,22,5’6,140.0,22.59634087679562,Normal weight
image_12.jpg,F/35/5’5 [331>180=151lbs](2yrs),F,35,5’5,180.0,29.95323576445969,Obese
image_13.jpg,"F/25/5'3"" [155lbs > 117lbs = 38lbs] march 2023 to now, 6 months heavy exercise 6 months none, gradual diet change to healthier eating, about to jump back into working out",F,25,"5'3""",117.0,20.72539020361488,Normal weight
image_14.jpg,"F/28/5’9”[180lbs>174lbs =6lbs] Two months in, just trying to get sexier for the summer! (repost bec account got deleted)",F,28,5’9”,174.0,33.981668630003924,Obese
image_15.jpg,"F/33/5’9” [235lbs > 215lbs = 20lbs ] (1 year). So I was struggling to see any difference in my weight loss until I put these two pictures together. Crazy how a small difference can drastically change how someone looks. It’s been slow going due to some meds, but a loss is a loss.",F,33,5’9”,215.0,41.98884342213128,Obese
image_16.jpg,F/24/5’7” [200lbs >160lbs =40lbs lost] taking things day by day. These photos are about 2 years apart,F,24,5’7”,160.0,31.247511383911654,Obese
image_17.jpg,F/22/5’8” [245lbs > 133lbs] weight loss progress!,F,22,5’8”,,,Obese
image_18.jpg,"F/28/5'5"" [320lbs > 175lbs = 145lbs] pic 5ish years apart. Been working on body comp the last year or so. Who tf am I?",F,28,"5'5""",175.0,29.12120143766915,Overweight
image_19.jpg,"F/38/5’11 [311 - 272 - 235 = -76] 2 years, same bathing suit. Halfway there!",F,38,5’11,,,Obese
image_20.jpg,"M/29/5'10"" [285>155 = 130lbs] I made some significant face gains!",M,29,"5'10""",155.0,22.239937949263652,Normal weight
image_21.jpg,"M/36/6'5""[300lbs>242lbs=58lbs] weight loss",M,36,"6'5""",242.0,28.696694128082132,Overweight
image_22.jpg,F/30/5’6” [217 - 163 = 54] 1 yr,F,30,5’6”,,,Obese
image_23.jpg,"M/21/6’2"" [160lbs > 250lbs = +90lbs] (4 years)",M,21,"6’2""",250.0,32.09774498438697,Obese
